ID,Lista,ETAPA1_G1t,ETAPA1_G6t,ETAPA2_G1t,ETAPA2_G6t,ETAPA3_G1t,ETAPA3_G6t,ETAPA4_G1t,ETAPA4_G6t,ID,Uniprot,PFAM,PFAMdescription,BP,BPdescription,MF,MFdescription,CC,CCdescription
TRINITY_DN9117_c0_g1_i35,TRINITY_DN9117_c0_g1_i35,0,0,0,0,384.694,419.026,0,122.625,TRINITY_DN9117_c0_g1_i35,LAX3_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009733|0009755|0055085|0060919|0048829|0010311|0009926,|amino acid transport|response to auxin|hormone-mediated signaling pathway|transmembrane transport|auxin influx|root cap development|lateral root formation|auxin polar transport,|0015293|0010328,|symporter activity|auxin influx transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN177_c0_g1_i54,TRINITY_DN177_c0_g1_i54,0,210.545,205.159,162.603,0,0,9.984,0,TRINITY_DN177_c0_g1_i54,E2FA_ARATH,PF16421.6,E2F transcription factor CC-MB domain,|0007049|0006355|0010090|0051446|0008284|0051302|0009733|1903508,|cell cycle|regulation of transcription DNA-templated|trichome morphogenesis|positive regulation of meiotic cell cycle|positive regulation of cell population proliferation|regulation of cell division|response to auxin|positive regulation of nucleic acid-templated transcription,|0046983|0003700|0003677|0001067|0016740,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|transferase activity,|0005667|0005634|0000785|0005737,|transcription regulator complex|nucleus|chromatin|cytoplasm
TRINITY_DN584_c0_g1_i4,TRINITY_DN584_c0_g1_i4,644.617,0,0,0,147.957,313.975,0,60.789,TRINITY_DN584_c0_g1_i4,ARFG_ORYSJ,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634|0016021,|nucleus|integral component of membrane
TRINITY_DN527_c0_g1_i4,TRINITY_DN527_c0_g1_i4,0,844.645,100.799,193.707,0,0,29.216,107.431,TRINITY_DN527_c0_g1_i4,BH049_ARATH,PF00010.27,Helix-loop-helix DNA-binding domain  ,|0006355|0009739,|regulation of transcription DNA-templated|response to gibberellin,|0046983|0003700|0003677,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN831_c0_g1_i45,TRINITY_DN831_c0_g1_i45,18.233,10.646,0,0,120.612,188.239,0,0,TRINITY_DN831_c0_g1_i45,VAB_ARATH,PF01027.21,Inhibitor of apoptosis-promoting Bax1 ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN4660_c0_g1_i15,TRINITY_DN4660_c0_g1_i15,0,66.622,0,0,64.87,231.131,0,0,TRINITY_DN4660_c0_g1_i15,NTO1_YEAST,PF13832.7,PHD-zinc-finger like domain  ,|0007165|0032259|0007165|0009733|0006325,|signal transduction|methylation|signal transduction|response to auxin|chromatin organization,|0046872|0008168|0046872,|metal ion binding|methyltransferase activity|metal ion binding,|0016021|0005634,|integral component of membrane|nucleus
TRINITY_DN4712_c0_g1_i1,TRINITY_DN4712_c0_g1_i1,0,43.693,82.708,123.915,0,0,0,47.188,TRINITY_DN4712_c0_g1_i1,XLG3_ARATH,PF00503.21,G-protein alpha subunit  ,|0007186|2000280|0009723|0009617,|G protein-coupled receptor signaling pathway|regulation of root development|response to ethylene|response to bacterium,|0031683|0003924|0019001|0001664|0046872|0032550|0035639|0032555,|G-protein beta/gamma-subunit complex binding|GTPase activity|guanyl nucleotide binding|G protein-coupled receptor binding|metal ion binding|purine ribonucleoside binding|purine ribonucleoside triphosphate binding|purine ribonucleotide binding,|0005834|0005634,|heterotrimeric G-protein complex|nucleus
TRINITY_DN2678_c0_g1_i6,TRINITY_DN2678_c0_g1_i6,0,240.894,95.607,74.951,0,0,34.208,0,TRINITY_DN2678_c0_g1_i6,TOR_ORYSJ,PF02259.24,FAT domain   ,|0006468|0038202|0016242|0009745|0010116|1900459|0010929|1902661|1901355|2000234|0040019|0050687|0009303|0040008|0009630|0009793|0009733|0009615|0045893|0051128|0016311|0009688|0009742|0036092|0006952|0006364|0016032,|protein phosphorylation|TORC1 signaling|negative regulation of macroautophagy|sucrose mediated signaling|positive regulation of abscisic acid biosynthetic process|positive regulation of brassinosteroid mediated signaling pathway|positive regulation of auxin mediated signaling pathway|positive regulation of glucose mediated signaling pathway|response to rapamycin|positive regulation of rRNA processing|positive regulation of embryonic development|negative regulation of defense response to virus|rRNA transcription|regulation of growth|gravitropism|embryo development ending in seed dormancy|response to auxin|response to virus|positive regulation of transcription DNA-templated|regulation of cellular component organization|dephosphorylation|abscisic acid biosynthetic process|brassinosteroid mediated signaling pathway|phosphatidylinositol-3-phosphate biosynthetic process|defense response|rRNA processing|viral process,|0106311|0106310|0044877|0005524|0043621|0000976|0042802|0016303|0008168,|protein threonine kinase activity|protein serine kinase activity|protein-containing complex binding|ATP binding|protein self-association|transcription regulatory region sequence-specific DNA binding|identical protein binding|1-phosphatidylinositol-3-kinase activity|methyltransferase activity,|0031931|0031932|0005634|0005844|0005737|0016021,|TORC1 complex|TORC2 complex|nucleus|polysome|cytoplasm|integral component of membrane
TRINITY_DN11094_c0_g2_i8,TRINITY_DN11094_c0_g2_i8,47.76,0,0,0,123.192,121.353,0,0,TRINITY_DN11094_c0_g2_i8,AB11B_ARATH,PF00005.28,ABC transporter   ,|0055085|0060919|0010315,|transmembrane transport|auxin influx|auxin efflux,|0042626|0005524|0010328|0010329|0046983|0003677|0046872,|ATPase-coupled transmembrane transporter activity|ATP binding|auxin influx transmembrane transporter activity|auxin efflux transmembrane transporter activity|protein dimerization activity|DNA binding|metal ion binding,|0016021|0031226|0005774|0005829|0005634,|integral component of membrane|intrinsic component of plasma membrane|vacuolar membrane|cytosol|nucleus
TRINITY_DN4660_c0_g1_i24,TRINITY_DN4660_c0_g1_i24,106.887,0,99.957,67.628,0,0,12.475,31.7,TRINITY_DN4660_c0_g1_i24,NTO1_YEAST,PF13832.7,PHD-zinc-finger like domain  ,|0007165|0032259|0007165|0009733|0006325,|signal transduction|methylation|signal transduction|response to auxin|chromatin organization,|0046872|0008168|0046872,|metal ion binding|methyltransferase activity|metal ion binding,|0016021|0005634,|integral component of membrane|nucleus
TRINITY_DN4091_c0_g1_i3,TRINITY_DN4091_c0_g1_i3,1620.735,3190.689,3691.192,923.664,174.535,307.227,1161.607,162.558,TRINITY_DN4091_c0_g1_i3,NAC74_ORYSJ,PF02365.16,No apical meristem (NAM) protein,|0006355|2000039|0009938|0009845|0048573|0071472|0033619|0009739|1903508|0006986|0009908|0071396|0009755|1901701|0035556|0006629,|regulation of transcription DNA-templated|regulation of trichome morphogenesis|negative regulation of gibberellic acid mediated signaling pathway|seed germination|photoperiodism flowering|cellular response to salt stress|membrane protein proteolysis|response to gibberellin|positive regulation of nucleic acid-templated transcription|response to unfolded protein|flower development|cellular response to lipid|hormone-mediated signaling pathway|cellular response to oxygen-containing compound|intracellular signal transduction|lipid metabolic process,|0003677|0003700|0004435,|DNA binding|DNA-binding transcription factor activity|phosphatidylinositol phospholipase C activity,|0016021|0005634|0005886,|integral component of membrane|nucleus|plasma membrane
TRINITY_DN180_c0_g1_i16,TRINITY_DN180_c0_g1_i16,13.143,0,0,0,59.1,178.39,22.7,5.564,TRINITY_DN180_c0_g1_i16,ARFW_ORYSI,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634,|nucleus
TRINITY_DN1625_c0_g1_i4,TRINITY_DN1625_c0_g1_i4,0,0,0,0,115.683,106.61,31.312,0,TRINITY_DN1625_c0_g1_i4,ARFI_ARATH,PF02309.17,AUX/IAA family   ,|0009734|0006355,|auxin-activated signaling pathway|regulation of transcription DNA-templated,|0003677,|DNA binding,|0005634,|nucleus
TRINITY_DN177_c0_g1_i26,TRINITY_DN177_c0_g1_i26,194.902,0,0,0,42.086,271.957,19.087,20.387,TRINITY_DN177_c0_g1_i26,E2FA_ARATH,PF16421.6,E2F transcription factor CC-MB domain,|0007049|0006355|0010090|0051446|0008284|0051302|0009733|1903508,|cell cycle|regulation of transcription DNA-templated|trichome morphogenesis|positive regulation of meiotic cell cycle|positive regulation of cell population proliferation|regulation of cell division|response to auxin|positive regulation of nucleic acid-templated transcription,|0046983|0003700|0003677|0001067|0016740,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|transferase activity,|0005667|0005634|0000785|0005737,|transcription regulator complex|nucleus|chromatin|cytoplasm
TRINITY_DN1234_c0_g1_i4,TRINITY_DN1234_c0_g1_i4,0,0,0,0,34,364.125,148.142,0,TRINITY_DN1234_c0_g1_i4,AAP2_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|0055085|0110126|0006952,|amino acid transport|auxin-activated signaling pathway|transmembrane transport|phloem loading|defense response,|0015293,|symporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN8035_c0_g1_i24,TRINITY_DN8035_c0_g1_i24,42.704,0,0,0,60.405,99.379,0,0,TRINITY_DN8035_c0_g1_i24,RNJ_ARATH,PF13837.7,Myb/SANT-like DNA-binding domain  ,|0090305|0009942|0060918|0009658|0009416,|nucleic acid phosphodiester bond hydrolysis|longitudinal axis specification|auxin transport|chloroplast organization|response to light stimulus,|0004527|0003723|0008800|0004519|0003677,|exonuclease activity|RNA binding|beta-lactamase activity|endonuclease activity|DNA binding,|0043231|0005737,|intracellular membrane-bounded organelle|cytoplasm
TRINITY_DN5317_c0_g1_i1,TRINITY_DN5317_c0_g1_i1,506.549,396.635,431.056,155.233,18,77.302,717.174,19,TRINITY_DN5317_c0_g1_i1,GID1C_ARATH,PF07859.14,alpha/beta hydrolase fold  ,|0009939|0010325|0048444|0048530|1905516|0010476,|positive regulation of gibberellic acid mediated signaling pathway|raffinose family oligosaccharide biosynthetic process|floral organ morphogenesis|fruit morphogenesis|positive regulation of fertilization|gibberellin mediated signaling pathway,|0010331|0016787,|gibberellin binding|hydrolase activity,|0005634|0005737|0016021,|nucleus|cytoplasm|integral component of membrane
TRINITY_DN177_c0_g1_i52,TRINITY_DN177_c0_g1_i52,93.745,0,0,0,27.204,214.701,0,37.351,TRINITY_DN177_c0_g1_i52,E2FA_ARATH,PF16421.6,E2F transcription factor CC-MB domain,|0007049|0006355|0010090|0051446|0008284|0051302|0009733|1903508,|cell cycle|regulation of transcription DNA-templated|trichome morphogenesis|positive regulation of meiotic cell cycle|positive regulation of cell population proliferation|regulation of cell division|response to auxin|positive regulation of nucleic acid-templated transcription,|0046983|0003700|0003677|0001067|0016740,|protein dimerization activity|DNA-binding transcription factor activity|DNA binding|regulatory region nucleic acid binding|transferase activity,|0005667|0005634|0000785|0005737,|transcription regulator complex|nucleus|chromatin|cytoplasm
TRINITY_DN12037_c0_g1_i2,TRINITY_DN12037_c0_g1_i2,184.459,595.244,788.34,691.349,198.685,436.37,121.375,312.591,TRINITY_DN12037_c0_g1_i2,AVT6A_ARATH,PF01490.19,Transmembrane amino acid transporter protein,|0006865|0009734|1905039,|amino acid transport|auxin-activated signaling pathway|carboxylic acid transmembrane transport,|0015293|0015171,|symporter activity|amino acid transmembrane transporter activity,|0016021|0005886,|integral component of membrane|plasma membrane
TRINITY_DN11763_c0_g1_i3,TRINITY_DN11763_c0_g1_i3,0,90.845,168.287,99.838,10.919,39.527,27.63,35.882,TRINITY_DN11763_c0_g1_i3,PHT1_ORYSJ,PF02458.16,Transferase family   ,|0009963|0010252|0009809,|positive regulation of flavonoid biosynthetic process|auxin homeostasis|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0005829|0016020,|cytosol|membrane
TRINITY_DN831_c0_g1_i54,TRINITY_DN831_c0_g1_i54,16.361,83.023,31.581,24.485,109.808,266.201,20.678,33.979,TRINITY_DN831_c0_g1_i54,VAB_ARATH,PF01027.21,Inhibitor of apoptosis-promoting Bax1 ,|0010305|0010087|0009734,|leaf vascular tissue pattern formation|phloem or xylem histogenesis|auxin-activated signaling pathway,.,.,|0016021|0016021,|integral component of membrane|integral component of membrane
TRINITY_DN84_c0_g2_i2,TRINITY_DN84_c0_g2_i2,2416.02,1987.644,1186.965,1393.881,185.107,729.602,4091.297,42,TRINITY_DN84_c0_g2_i2,METK_DENCR,PF02773.17,S-adenosylmethionine synthetase,|0006556|0006730|0009809|0009860|0046686|0009409|0006555|0043450|0009692,|S-adenosylmethionine biosynthetic process|one-carbon metabolic process|lignin biosynthetic process|pollen tube growth|response to cadmium ion|response to cold|methionine metabolic process|alkene biosynthetic process|ethylene metabolic process,|0004478|0005524|0046872|0005515|0003729,|methionine adenosyltransferase activity|ATP binding|metal ion binding|protein binding|mRNA binding,|0005737|0009506|0005618|0005730|0070062|0005886|0012505|0016021,|cytoplasm|plasmodesma|cell wall|nucleolus|extracellular exosome|plasma membrane|endomembrane system|integral component of membrane
TRINITY_DN11763_c0_g1_i10,TRINITY_DN11763_c0_g1_i10,126.062,90.643,208.797,111.194,23.234,52.041,84.867,56,TRINITY_DN11763_c0_g1_i10,PHT1_ORYSJ,PF02458.16,Transferase family   ,|0009963|0010252|0009809,|positive regulation of flavonoid biosynthetic process|auxin homeostasis|lignin biosynthetic process,|0016747,|transferase activity transferring acyl groups other than amino-acyl groups,|0005829|0016020,|cytosol|membrane
TRINITY_DN9939_c0_g1_i11,TRINITY_DN9939_c0_g1_i11,31.631,0,0,0,19.108,136.531,0,27.275,TRINITY_DN9939_c0_g1_i11,ILL7_ORYSJ,PF01546.29,Peptidase family M20/M25/M40  ,|0009850,|auxin metabolic process,|0010179,|IAA-Ala conjugate hydrolase activity,|0005783|0016021,|endoplasmic reticulum|integral component of membrane
TRINITY_DN1420_c0_g1_i23,TRINITY_DN1420_c0_g1_i23,40.298,0,30.924,51.002,0,0,16.099,20.269,TRINITY_DN1420_c0_g1_i23,UBA2B_ARATH,PF00076.23,RNA recognition motif. (a.k.a. RRM,|0010150|0043450|0009692|0008219|0006952,|leaf senescence|alkene biosynthetic process|ethylene metabolic process|cell death|defense response,|0003723,|RNA binding,|0005634,|nucleus
TRINITY_DN9004_c0_g1_i7,TRINITY_DN9004_c0_g1_i7,129.391,42.181,135.33,72.333,621.979,598.458,292.365,54.33,TRINITY_DN9004_c0_g1_i7,MYB06_ANTMA,PF00249.32,Myb-like DNA-binding domain  ,|0009626|0042761|0001666|0009733|0009617|0006355,|plant-type hypersensitive response|very long-chain fatty acid biosynthetic process|response to hypoxia|response to auxin|response to bacterium|regulation of transcription DNA-templated,|0005515|0003700|0003677,|protein binding|DNA-binding transcription factor activity|DNA binding,|0005634,|nucleus
TRINITY_DN8798_c1_g1_i3,TRINITY_DN8798_c1_g1_i3,18.579,69.513,78.406,43.481,642.351,366.043,22.153,30.364,TRINITY_DN8798_c1_g1_i3,XTH9_ARATH,PF00722.22,Glycosyl hydrolases family 16 ,|0010411|0071555|0042546|0009414|0009741|0009739|0022900,|xyloglucan metabolic process|cell wall organization|cell wall biogenesis|response to water deprivation|response to brassinosteroid|response to gibberellin|electron transport chain,|0016762|0004553|0030246|0051536|0009055,|xyloglucan:xyloglucosyl transferase activity|hydrolase activity hydrolyzing O-glycosyl compounds|carbohydrate binding|iron-sulfur cluster binding|electron transfer activity,|0048046|0005618|0016021,|apoplast|cell wall|integral component of membrane
TRINITY_DN324_c0_g1_i18,TRINITY_DN324_c0_g1_i18,49.807,0,0,0,40.873,50.668,0,4.465,TRINITY_DN324_c0_g1_i18,UBP12_ARATH,PF12436.9,ICP0-binding domain of Ubiquitin-specific protease,|0016579|0006511|0018215|0031647|0006414|0016579|0006511|0018215|0031647|0009873|0006265|0006952|0006414|0015074|0006355,|protein deubiquitination|ubiquitin-dependent protein catabolic process|protein phosphopantetheinylation|regulation of protein stability|translational elongation|protein deubiquitination|ubiquitin-dependent protein catabolic process|protein phosphopantetheinylation|regulation of protein stability|ethylene-activated signaling pathway|DNA topological change|defense response|translational elongation|DNA integration|regulation of transcription DNA-templated,|0004843|0008234|0004175|0003924|0005525|0003746|0004843|0008234|0004175|0003690|0003700|0003746|0003924|0005525,|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity|GTPase activity|GTP binding|translation elongation factor activity|thiol-dependent ubiquitin-specific protease activity|cysteine-type peptidase activity|endopeptidase activity|double-stranded DNA binding|DNA-binding transcription factor activity|translation elongation factor activity|GTPase activity|GTP binding,|0005829|0005634|0016021|0005829|0005634|0016021,|cytosol|nucleus|integral component of membrane|cytosol|nucleus|integral component of membrane
